left: 34.7681, 0.832914, 8.20664, -0.998961
right:39.7085, 7.6055, 8.15974, 0.401671
left: 29.8549, 1.20617, 11.0471, -1.47481
keep: 35.5485, 0.496134, 9.45597, -0.105635
left: 9.09643, 8.2774, 8.78513, -0.588014
left: 11.7231, 7.28643, 7.80371, -0.387755
keep: 31.3362, 7.63749, 10.3943, 0.24788
left: 17.4315, 7.66664, 9.33175, -1.18517
keep: 22.1561, 0.227879, 11.5408, -0.0904489
left: 17.2911, 6.74111, 9.92272, -1.67616
keep: 14.7674, 0.213768, 9.5303, -0.00179248
keep: 6.44917, 0.271703, 11.9691, -0.00799484
keep: 14.0525, -0.268954, 8.66717, -0.0961812
left: 26.1064, 6.40537, 11.0891, -1.78506
keep: 29.867, 8.11257, 9.19537, 0.0180203
left: 19.1914, 6.20902, 10.5332, -1.77383
keep: 12.7787, 7.67733, 9.921, 0.280746
left: 20.2847, 2.58116, 9.48509, -1.35963
left: 41.2333, 0.329575, 11.3275, -0.0346479
left: 14.0985, 7.31036, 9.74335, -1.06747
left: 19.945, 7.18747, 11.5191, -2.20759
keep: 11.8613, 4.32405, 9.51664, -0.104643
right:22.9556, 2.08325, 8.50574, 1.43105
keep: 33.4472, 3.87726, 10.9933, 0.00995027
left: 9.25621, 3.80477, 9.6861, -0.857616
right:29.3638, 6.73476, 10.0442, 2.243
left: 28.9511, 5.69487, 9.97594, -1.58086
right:3.19229, 0.120917, 7.98293, 0.0530777
left: 37.7162, 3.98238, 11.8654, -1.01378
keep: 25.751, 4.01085, 11.7651, 0.294597
left: 10.8064, 8.02834, 9.72518, -0.854708
keep: 8.72029, 7.77617, 10.3654, -0.084692
keep: 11.5082, 3.92581, 11.9747, 0.0204697
left: 2.39088, 4.44991, 8.53762, -0.0449796
right:10.11, 1.03015, 12.016, 0.520646
keep: 9.99694, 7.57974, 10.4026, 0.0445747
keep: 17.8782, 0.0519728, 9.66634, 0.346007
keep: 38.4151, 7.96157, 10.9492, 0.0337061
right:9.44594, 4.11549, 10.1745, 0.456705
keep: 7.12525, 0.0788535, 9.47702, 0.0239254
keep: 37.3035, -0.0559544, 11.0362, 0.0914477
keep: 25.4175, 7.63949, 11.4094, 0.478397
right:27.5277, 2.45259, 7.98044, 1.3275
left: 15.8521, 2.84512, 12.7727, -2.10628
right:24.9746, 1.95566, 12.8217, 2.42499
right:14.5937, 0.834825, 9.17107, 0.766197
left: 10.9492, 8.44738, 9.15988, -0.53359
keep: 19.1533, 0.760498, 8.6436, -0.344426
keep: 7.86002, -0.222809, 9.82964, 0.00442492
keep: 21.2704, 0.131356, 10.7076, -0.455657
